,lvl0,lvl1,lvl2,lvl3,lvl4,count
268,all,invest,invest_money,invest_money_loan,,923
269,all,invest,invest_money,invest_money_credit,,257
270,all,invest,invest_loan,invest_loan_relay,,110
271,all,invest,invest_loan,invest_loan_money,,449
272,all,invest,invest_loan,invest_loan_credit,,52
273,all,invest,invest_credit,invest_credit_relay,,152
274,all,invest,invest_credit,invest_credit_money,,413
275,all,invest,invest_credit,invest_credit_loan,,158
276,all,loan,loan_relay,loan_relay_money,,407
277,all,loan,loan_relay,loan_relay_invest,,784
278,all,loan,loan_relay,loan_relay_credit,,211
279,all,loan,loan_money,loan_money_relay,,508
280,all,loan,loan_money,loan_money_invest,,639
281,all,loan,loan_money,loan_money_credit,,74
282,all,loan,loan_invest,loan_invest_relay,,146
283,all,loan,loan_invest,loan_invest_money,,800
284,all,loan,loan_invest,loan_invest_credit,,86
285,all,loan,loan_credit,loan_credit_relay,,9
286,all,loan,loan_credit,loan_credit_money,,77
287,all,loan,loan_credit,loan_credit_invest,,90
288,all,credit,credit_relay,credit_relay_money,,279
289,all,credit,credit_relay,credit_relay_invest,,90
290,all,credit,credit_relay,credit_relay_loan,,125
291,all,credit,credit_money,credit_money_relay,,791
292,all,credit,credit_money,credit_money_invest,,600
293,all,credit,credit_money,credit_money_loan,,193
294,all,credit,credit_invest,credit_invest_relay,,110
295,all,credit,credit_invest,credit_invest_money,,778
296,all,credit,credit_invest,credit_invest_loan,,95
297,all,credit,credit_loan,credit_loan_relay,,32
298,all,credit,credit_loan,credit_loan_money,,91
299,all,credit,credit_loan,credit_loan_invest,,70
300,all,relay,relay_money,,,106440
301,all,relay,relay_invest,,,179397
302,all,relay,relay_loan,,,130092
303,all,relay,relay_credit,,,21752
304,all,money,money_relay,,,79725
305,all,money,money_invest,,,31702
306,all,money,money_loan,,,9645
307,all,money,money_credit,,,1992
308,all,invest,invest_relay,,,50172
309,all,invest,invest_money,,,48778
310,all,invest,invest_loan,,,8520
311,all,invest,invest_credit,,,2426
312,all,loan,loan_relay,,,7464
313,all,loan,loan_money,,,5454
314,all,loan,loan_invest,,,6399
315,all,loan,loan_credit,,,1085
316,all,credit,credit_relay,,,708
317,all,credit,credit_money,,,2184
318,all,credit,credit_invest,,,1340
319,all,credit,credit_loan,,,2236
320,all,relay,,,,934797
321,all,money,,,,379872
322,all,invest,,,,466202
323,all,loan,,,,489619
324,all,credit,,,,27853
